"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
-0.0080584,-1.6389e-06,0.00067288,4.3885e-07,3.5164e-11,23399,-0.01366,4.1637,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.011845,4.2117,-5.5511e-17,2.25
-0.0078937,-1.6856e-06,0.00070988,4.2903e-07,3.4831e-11,23399,-0.011845,4.2117,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.010044,4.2598,-5.5511e-17,2.25
-0.0077269,-1.7318e-06,0.00074745,4.1919e-07,3.4486e-11,23399,-0.010044,4.2598,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.0082586,4.3078,-5.5511e-17,2.25
-0.0075583,-1.7752e-06,0.00078553,4.0936e-07,3.413e-11,23399,-0.0082587,4.3078,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.00649,4.3559,-5.5511e-17,2.25
-0.0073882,-1.8137e-06,0.00082408,3.9958e-07,3.3764e-11,23399,-0.0064901,4.3559,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.0047386,4.4039,-5.5511e-17,2.25
-0.007217,-1.8494e-06,0.00086306,3.8986e-07,3.339e-11,23399,-0.0047387,4.4039,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.0030049,4.452,-5.5511e-17,2.25
-0.007045,-1.8809e-06,0.00090241,3.8024e-07,3.301e-11,23399,-0.0030051,4.452,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.0012897,4.5,-5.5511e-17,2.25
-0.0068725,-1.9096e-06,0.00094208,3.7075e-07,3.2624e-11,23399,-0.0012898,4.5,0.0008677,2.25
0,0,0,1e-10,0,40116,0.00040684,4.548,-5.5511e-17,2.25
-0.0066998,-1.9361e-06,0.00098202,3.6141e-07,3.2236e-11,23399,0.00040664,4.548,0.0008677,2.25
0,0,0,1e-10,0,40116,0.0020842,4.5961,-5.5511e-17,2.25
-0.0065271,-1.9588e-06,0.0010222,3.5224e-07,3.1847e-11,23399,0.002084,4.5961,0.0008677,2.25
0,0,0,1e-10,0,40116,0.0037421,4.6441,-5.5511e-17,2.25
-0.0063547,-1.9779e-06,0.0010624,3.4325e-07,3.1455e-11,23399,0.0037419,4.6441,0.0008677,2.25
0,0,0,1e-10,0,40116,0.0053804,4.6922,-5.5511e-17,2.25
-0.0061828,-1.9941e-06,0.0011027,3.3444e-07,3.1061e-11,23399,0.0053802,4.6922,0.0008677,2.25
0,0,0,1e-10,0,40116,0.006999,4.7402,-5.5511e-17,2.25
